content,sentencelabel
Mi történt a választáson?,0
 A Mandiner a magyar nyilvánosság neves szereplőit kérdezi meg új sorozatában a választás tanulságairól.,0
" Újabb interjúalanyunk: Dörner György színművésu, az Új Színház igazgatója.",0
***,0
"Milyen érzelmet váltott ki önből, hogy ekkora győzelmet aratott a Fidesz-KDNP?",0
"Nagy öröm volt számomra az eredmény, amit, ha lehet, a meglepődésem még fokozott is.",0
 Erre azért nem számítottam.,0
" Korábban úgy éreztem, nagyon is benne van a levegőben, hogy szoros eredmény születik, beleértve azt az eshetőséget is, hogy akár az ellenzék győz minimális különbséggel.",0
" Ahogy előrehaladt a kampány, egyre kézzel foghatóbbá vált, hogy kormányzóképes erőnek egyedül a Fidesz-KDNP tűnik fel a társadalom szemében.",0
" De mivel „láttam én már karón varjút”, bizonyos aggodalommal vártam április 3-át.",0
 Mentségemre szolgáljon: a közvélemény-kutatások sem vetítettek előre ekkora jobboldali győzelmet.,0
" Végül mégis ez az igen szép eredmény sikeredett, úgy vélem, az egész ország javára… ",0
"A baloldal a választás után azonnal hibáztatni kezdte az addigi miniszterelnök-jelöltjét, egymásra mutogatás folyik, ki nem hozta a kellő szavazatszámot.",0
" Ön, aki nem politikus, sem elemző, „csak” egy közismerten konzervatív színházigazgató, népszerű színművész, milyennek látja ezt az ellenzéket?",0
"A választáson szerintem nem csak egy – extrémet természetesnek mondó, nemzeti kérdések iránt érzéketlennek tűnő – bal- és liberális oldallal szemben kellett győznie a kormányerőnek.",0
" Hanem főleg egy olyan ellenféllel szemben, amelynek nincs kivehető, markáns arca.",0
" Egy önmagát meghatározni képtelen ellenfelet, formációt láttak a választópolgárok is.",0
 Szerintem ez is nagyon sokban hozzájárult a Fidesz elképesztő sikeréhez.,0
 Hiszen a megfoghatatlanság ellenzéki érzelmű polgárokat is riaszthatott.,0
" Kárhoztatja azokat, akik mégis az ellenzékre adták a voksukat?",0
"Mindenkinek szíve joga, hogy melyik pártra adja a voksát.",0
" De azt hiszem, az ellenzéki szavazóknak is jobb, hogy így alakult az eredmény.",0
