Unnamed: 0,site,title,date,writer,content,comments,label
0, Mandiner,"Az ellenzéki szavazóknak is jobb, hogy így alakult – Dörner György a Mandinernek",2022. április 18. 13:00,Joó István,"||Mi történt a választáson?| A Mandiner a magyar nyilvánosság neves szereplőit kérdezi meg új sorozatában a választás tanulságairól.| Újabb interjúalanyunk: Dörner György színművésu, az Új Színház igazgatója.||***|Milyen érzelmet váltott ki önből, hogy ekkora győzelmet aratott a Fidesz-KDNP?||Nagy öröm volt számomra az eredmény, amit, ha lehet, a meglepődésem még fokozott is.| Erre azért nem számítottam.| Korábban úgy éreztem, nagyon is benne van a levegőben, hogy szoros eredmény születik, beleértve azt az eshetőséget is, hogy akár az ellenzék győz minimális különbséggel.| Ahogy előrehaladt a kampány, egyre kézzel foghatóbbá vált, hogy kormányzóképes erőnek egyedül a Fidesz-KDNP tűnik fel a társadalom szemében.| De mivel „láttam én már karón varjút”, bizonyos aggodalommal vártam április 3-át.| Mentségemre szolgáljon: a közvélemény-kutatások sem vetítettek előre ekkora jobboldali győzelmet.| Végül mégis ez az igen szép eredmény sikeredett, úgy vélem, az egész ország javára… |A baloldal a választás után azonnal hibáztatni kezdte az addigi miniszterelnök-jelöltjét, egymásra mutogatás folyik, ki nem hozta a kellő szavazatszámot.| Ön, aki nem politikus, sem elemző, „csak” egy közismerten konzervatív színházigazgató, népszerű színművész, milyennek látja ezt az ellenzéket?||A választáson szerintem nem csak egy – extrémet természetesnek mondó, nemzeti kérdések iránt érzéketlennek tűnő – bal- és liberális oldallal szemben kellett győznie a kormányerőnek.| Hanem főleg egy olyan ellenféllel szemben, amelynek nincs kivehető, markáns arca.| Egy önmagát meghatározni képtelen ellenfelet, formációt láttak a választópolgárok is.| Szerintem ez is nagyon sokban hozzájárult a Fidesz elképesztő sikeréhez.| Hiszen a megfoghatatlanság ellenzéki érzelmű polgárokat is riaszthatott.| Kárhoztatja azokat, akik mégis az ellenzékre adták a voksukat?||Mindenkinek szíve joga, hogy melyik pártra adja a voksát.| De azt hiszem, az ellenzéki szavazóknak is jobb, hogy így alakult az eredmény.| Viszont reménykedem, hogy később a budapesti ellenzéki voksolók, értelmiségiek is közelednek a többségi állásponthoz – legalábbis némely kérdésekben.| Talán vannak jelei, hogy ez már el is kezdődött.| Többen például őszintén elgondolkodtak azon, hogy a vidékiek a választáson elegáns, egyszersmind határozott választ adtak a jelen baloldal velük szembeni lekezelő gesztusaira.| | ",,0
1, Mandiner,"Dopeman: Ha Osváth Zsolt erkölcsileg tényleg a többiek felett áll, akkor nem paktál jobbikosokkal",2022. április 18. 14:32,,"||Pityinger László, alias Dopeman húsvét hétfőn is új videóval jelentkezett, amelynek a legfőbb témáját VV Zsolti, azaz Osváth Zsolt Tóth Gabi ellen irányuló kirohanása szolgáltatta.| A volt villalakó úgy fogalmazott videójában, „nem az a baj, hogy az énekesnő fideszes, hanem hogy ezt hosszú ideig az ő szemébe is letagadta”, és emiatt, mint mondta, „Tóth Gabi a pofámba hazudott, hányok tőle”.| |Dopeman először is azzal kezdte: a negyedik Fidesz-kétharmad után az ellenoldalnak önreflexiót kellene tartania, majd ezen gondolatmenetet továbbszőve azt mondta: Osváth Zsoltnak egyetlen problémája van, ami azonban nem csak rá, hanem az egész balliberális oldalra jellemző, mégpedig, hogy „ezek az ellenzéki formák piedesztálra helyezik magukat”.| A rapper szerint VV Zsolti|– fogalmazott videójában Dopeman.||Hozzátette: a probléma ott van, hogy ez a piedesztál „recseg-ropog, nem áll biztos lábakon”, sőt a rapper álláspontja szerint ez már „össze is dőlt”, utalva arra, hogy Gyurcsány a választások után egyből Márki-Zay Péter felelősségét kezdte firtatni, és arra buzdított mindenkit, hogy legyenek ők is Gyurcsányok.||Dopeman ezután azzal folytatta: Osváth Zsolt az „orbáni diktatúrában” építette fel YouTube-csatornáját és éttermét, egy olyan országban, „ahol elnyomják a melegeket”, majd hozzátette:  „Lehet fikázni a Tóth Gabit, mert hogy fideszes.| [.|.|.|] Nyilvánvaló az, hogy ha Osváth Zsolt becsatornázódott [Gyurcsányékhoz], az se véletlen volt”.||A rapper szerint ha VV Zsolti „erkölcsi és morális értelemben valóban a többiek fölött áll”, |– fogalmazott Dopeman.||A rapper teljes videóját megtekinthetik alább:||Nyitókép: YouTube / ZSHOW Time|egy ilyen piedesztálról nézi a világot és bírálgatja az embereket.| „És most meglepődött, hogy mégsem sikerült a nagy változás, és most meg vagyunk sértődve, és haragszunk”",,0
2, Mandiner,Putyin szerint a Nyugat öngólt lőtt a szankciókkal,2022. április 18. 16:46,,"||Vlagyimir Putyin orosz elnök szerint a nyugati országok öngólt lőttek azzal, hogy az ukrajnai háború miatt szankciókat vezettek be Oroszország ellen, ami szerinte|Az orosz belföldi gazdaság helyzetéről szólva Putyin azt mondta, hogy az infláció stabilizálódik, és a kiskereskedelmi kereslet normalizálódott az országban.| – írja a Guardian.||Az orosz szolgáltatási szektor a legnagyobb visszaesést szenvedte el a Covid-19 világjárvány 2020-as kitörése óta, mivel a fogyasztók és a vállalkozások lemondták megrendeléseiket|Ezzel szemben egy nagy figyelemmel kísért üzleti felmérés e hónap elején azt mutatta, hogy az új megrendelések márciusban csökkentek, mivel az importra és az exportra vonatkozó korlátozások kezdtek éreztetni hatásukat, az infláció pedig a szolgáltatások árát az eddigi leggyorsabb ütemben emelte.||Nyitókép: AFP|a nyugati gazdaság gyengüléséhez” vezetett.|",,0
3, Mandiner,"The Wall Street Journal: Berlin cinkos, mert megalkuvó Orbánnal szemben",2022. április 18. 15:51,,"||„Németországnak is megvan a maga magyar-problémája” címmel jelentetett meg egy cikket a  Wall Street Journalben Dalibor Rohac, az American Enterprise Institute elemzője.| A szerző a cikkben kifejti, hogy Berlin Orbán Viktor cinkosaként az orosz agresszió elleni egységes uniós fellépést akadályozza.| Merthogy nemcsak Orbán, de Németország is igyekezett a Kreml kedvében járni – alapvetően|„A német vezetők több mint egy évtizede nemcsak a Kreml, hanem az Európai Unió legvakmerőbb és legnyíltabban nyugatellenes politikát folytató kormányát is simogatták és megbékítették Budapesten.|” – írja Rohac.||Ezután kifejti, hogy „Németország hanyagsága Európában és az Észak-atlanti Szerződés Szervezetében különösen szembetűnő volt az orosz invázió közepette.| Egyes berlini kritikusok számára az, hogy Ukrajna a közelmúltban elutasította Frank-Walter Steinmeier német elnök kijevi látogatását, megkésett igazolásnak számít”.||Az elemző szerint „néhány nappal a háború kezdete után Olaf Scholz német kancellár politikai forradalmat jelentett be, beleértve azt a tervet, hogy többet költenek a védelemre és függetlenítik az országot az orosz földgáztól.| A politika »új korszaka« február 27-én azonban túl kevésnek, túl későnek tűnik.| |valamint a Fidesz-pártnak a civil társadalmat, a szabad médiát és az igazságszolgáltatást megcélzó antidemokratikus politikáját”.||Nyitókép: Yorick Jansens / AFP|az energiapolitika zökkenőmentessége érdekében.|",,1
4, Mandiner,Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is,2022. április 18. 17:14,,"||Viktor Medvedcsuk Moszkva-barát ukrán politikus és üzletember a mariupoli civilekre, orosz fogságba esett két brit katona pedig Medvedcsukra való kicserélését kérték egy-egy videóban, amelyet egy órán belül tettek közzé hétfőn Ukrajnában és Oroszországban.||Az ukrán állambiztonsági szolgálat a Facebookon hozott nyilvánosságra egy videofelvételt, amelyben a hazaárulással vádolt, oroszbarátként számon tartott Viktor Medvedcsuk ukrán politikus és vállalkozó azt javasolja: cseréljék el őt az ostromlott|A felvételen arra kéri Vlagyimir Putyin orosz és Volodimir Zelenszkij ukrán elnököt: fontolják meg ajánlatát.|    |Medvedcsuk az Ellenzéki Platform – Az Életért elnevezésű oroszbarát párt volt vezetője.| A Forbes magazin szerint a 12.| leggazdagabb ember volt Ukrajnában 2021-ben.| Személyes kapcsolatok fűzik Vlagyimir Putyin orosz elnökhöz, aki a politikus egyik lányának a keresztapja.|    |egy különleges művelet során.| A 67 éves oligarcha – akit hazaárulással és terrorizmus finanszírozásával vádolnak – az orosz invázió kezdete előtt szökött meg házi őrizetből.|    |Eközben orosz hadifogságba esett két brit férfi, Sean Pinner és Aiden Aslin egy felvételen arra kérte Boris Johnson brit miniszterelnököt, hogy gondoskodjon szabadulásukról, érje el, hogy kicseréljék őket az Ukrajnában fogva tartott Viktor Medvedcsukra.|    |Orosz információk szerint|Állítólag azt követően kerültek hadifogságba, hogy egységük megadta magát az oroszoknak.| Videójukat az orosz állami médiában tették közzé.| A felvételen megviseltnek tűnnek, de azt mondták, hogy megfelelő bánásmódban részesültek.| A videóból nem derült ki, hogy a britek donyecki szakadárok vagy orosz katonák fogságában vannak-e.|    |Shaun Pinner, a 48 éves veterán katona családja Londonban közleményben hangsúlyozta, hogy a férfi se nem önkéntes, se nem zsoldos; négy éve él Ukrajnában, „fogadott hazájában”; ukrán felesége van, és „hivatalosan, az ukrán törvények alapján szolgál az ukrán hadseregben”.|| |Captured British fighters beg to be exchanged for Putin's 'prince of darkness' on Russian TV https://t.|co/imbu9So5Ha pic.|twitter.|com/OZ63BQ9Pef| |(MTI)|Nyitókép: Mikhail KLIMENTYEV / SPUTNIK / AFP|Mariupolban rekedt civilekért és a várost védő ukránokért.||Medvedcsukot múlt kedden fogta el az Ukrán Biztonsági Szolgálat (SZBU)",,1
5, Mandiner,Végleges: a Havannát is bevette a Fidesz,2022. április 18. 15:57,,"||Az április 3-i országgyűlési választásokon a fideszes Lévai István több szavazatot kapott Budapest egyik legismertebb lakótelepén, a Havanna-lakótelepen, mint az MSZP-s Kunhalmi Ágnes.| Pedig ez a körzet eddig a baloldal egyik legerősebb területe volt.| Nemcsak ebben a választókerületben, hanem a főváros egészében nőtt a Fidesz–KDNP támogatottsága.||A Budapest 15.| számú egyéni választókerületben 100 százalékos feldolgozottság mellett Kunhalmi Ágnes, a baloldal jelöltje 25 946 szavazattal 44,60 százalékot szerzett, és ezzel megnyerte a választókerületet, meglepetésre nagyon kis különbséggel – olvasható az Origó cikkében.||A fideszes Lévai István mindössze egy százalékponttal lemaradva 25 166 szavazatot szerzett 43,26 százalékkal.| Viszont a választókerületben fekvő |„A pontos szavazati arányt nem lehet megállapítani, ugyanis az egyik havannatelepi szavazókört jelölték ki arra, hogy az átjelentkezéssel és a külképviseleteken szavazók szavazatait a többi közé keverjék – ők azonban nem (vagy nem feltétlen) a lakótelepen laknak.| A többi szavazókörben azonban annyival több szavazatot kapott Lévai István, hogy a csak itt lakók szavazataival semmiképp nem tudott volna fordítani Kunhalmi, sőt, valószínű, hogy ha |– írja az Origó.||Abban a 10 szavazókörben, ahol csak a havannatelepiek szavaztak, Lévai István 2791, Kunhalmi Ágnes 2727 szavazatot kapott.| |Nyitókép: Facebook |Havanna-lakótelepen Lévai István kapott több szavazatot.|",,0
6, Mandiner,Ukrán veszteséglistát hozott nyilvánosságra az orosz védelmi minisztérium,2022. április 18. 13:53,,"||Először hozott nyilvánosságra a háború kezdete óta ukrán veszteséglistát hétfőn az orosz védelmi minisztérium, az elesettek névsora 23 367 ember személyi adatait tartalmazza.| A moszkvai katonai tárca az ukrán hadsereg, a nemzeti gárda és a külföldi zsoldosok veszteségeiről szóló, a Telegram-csatornáján megosztott adatokat megbízhatónak nevezte, a gárda esetében megjegyezve, hogy az információk valódi ukrán dokumentumokból származnak.||A hivatalos iratokra hivatkozó közlemény szerint a 3057-es katonai egység katonái és az annak részét képező Azov különleges rendeltetésű különítmény büntetőalakulatának katonái között jelentősek voltak a veszteségek a március 29-én rögzített állapot szerint.| |A veszteséglista az elesett ukrán katonák nevét, születési dátumát, rendfokozatát, haláluk helyét és körülményeit, valamint az eltemetésük helyét tartalmazza.| A tárca közölte, hogy nagyszámú dezertált, sebesült és eltűnt ukrán katona adataival is rendelkezik.||(MTI)|Fotó: MTI/EPA/Stanislav Kozliuk",,1
7, Mandiner,"Íme, a kis országok, amelyek csendben reménykednek a világgazdaság dollármentesítésében ",2022. április 18. 15:08,,"||A kínai külügyminisztérium március 28-án közölte, hogy Indonézia, Thaiföld, a Fülöp-szigetek és Mianmar külügyminiszterei csütörtöktől vasárnapig Kínában tesznek látogatást Wang Yi államtanácsos és külügyminiszter meghívására.||A Délkelet-Ázsiai Nemzetek Szövetsége (ASEAN) tagjai közül a négy külügyminiszter közelgő látogatása nemcsak Kína bensőséges kapcsolatait tükrözi a szomszédos országokkal, hanem azt is, hogy  közös cél a Kína-ASEAN együttműködés előmozdítása – mondta Wang külügyminisztériumi szóvivő.||A találkozó tényét az teszi pikánssá, hogy |Wang ki is hangsúlyozta: „Az ASEAN fontos tagjaként Indonézia, Thaiföld, a Fülöp-szigetek és Mianmar Kína baráti szomszédai és fontos partnerei a Belt and Road együttműködés előmozdításában.| Kína folyamatosan kapcsolatot tartott az ASEAN-tagokkal, hogy elmélyítse a világjárvány elleni intézkedésekkel és a fejlődés helyreállításával kapcsolatos együttműködést a COVID-19 világjárvány kitörése óta”.||A kínai szakértők szerint a kisebb országok kínai látogatása épp akkor,  amikor elhalasztották  az Egyesült Államokkal való találkozót, azt mutatja, hogy az ASEAN Kínával hajlandó tárgyalni, nem pedig az Egyesült Államokkal.||„Míg az előbbi valóban és őszintén segíti őket a gazdasági fejlődés fellendítésében és a gyakorlati problémák megoldásában a win-win együttműködés révén, addig az utóbbi nem igazán törődik jelenlegi helyzetükkel, hanem csak arra akarja használni őket, hogy megfékezzék Kínát anélkül, hogy kézzelfogható hasznot hozna nekik.| És az ASEAN-tagok tudják ezt” – mondta Qian Feng, a Tsinghua Egyetem Nemzeti Stratégiai Intézetének kutatási osztályának igazgatója a Global Timesnak hétfőn.||Qian azt is hozzátette, hogy az ASEAN részben az ukrajnai válság miatt próbálta elkerülni az Egyesült Államokkal való találkozást.| ""Az ASEAN nem akarja az Egyesült Államok oldalát választani az ukrajnai válságban, ami véleményük szerint csak tovább fokozná a feszültséget, ami eszkalálhatja a helyzetet"" - mondta.||Az ENSZ Közgyűlésén az afrikai országok többsége vagy tartózkodott az orosz akciók elítéléséről szóló határozattól, vagy ellenezte is az elítélő határozatot.||Az afrikai országok független álláspontját az ukrán-orosz válsággal kapcsolatban egy józan és jól kiszámított, saját érdekeiken alapuló álláspont magyarázza.| Emellett, széles körben elítélik az Ukrajna elleni katonai hadművelet miatti orosz erkölcsi kudarcot.||Az afrikai álláspont szerint, |A nyersanyagok – például a búza, az árpa, a nikkel, a műtrágyák és a növényvédő szerek – árai is megugrottak a globális piacokon tapasztalható hiány miatt.||Az orosz-ukrán konfliktus így óriási hatással van a fejlődő világra.| Afrika különösen küzd saját népének élelmezéséért.| Az ENSZ Élelmezésügyi és Mezőgazdasági Szervezete is figyelmeztetett arra, hogy idén a kontinens súlyos élelmiszer-ellátási bizonytalansággal nézhet szembe a COVID-19 világjárvány által kiváltott konfliktusoknak, aszálynak és gazdasági nehézségeknek köszönhetően.||Az afrikai országok nincsenek egyedül abban, hogy fenntartják független álláspontjukat az ukrán-orosz konfliktusokkal szemben.| Ezért csatlakoztak Kínához, Indiához és Törökországhoz, amelyek szerint a szankcióknak semmi haszna nincs a probléma megoldásában.||A kínai lap nevetségesnek tartja, hogy az afrikai kontinens hallgatását a nyugati média Oroszország Afrikában növekvő befolyásával és gazdasági lábnyomával magyarázza.| |Az Ukrajna elleni támadás 2014 után újra száz dollár fölé emelte az olaj hordónkénti árát, az orosz tartalékok befagyasztása pedig sok országot gondolkodóba ejtett.| Ennek egyik elemeként a szaúdiak aktív tárgyalásokat folytatnak Pekinggel: a Kínának értékesített olaj egy részét jüanban számolnák el.| Ez a lépés csorbítaná az USA-dollár dominanciáját a globális kőolajpiacon, és a világ legnagyobb nyersolaj exportőrének újabb elmozdulását jelezné Ázsia felé.||A Kínával folytatott tárgyalások a jüan-áras olajszerződésekről hat éve folynak, de idén felgyorsultak, mivel a szaúdiak egyre elégedetlenebbek az Egyesült Államokkal, amely szerintük nem teljesíti több évtizedes biztonsági kötelezettségvállalásait a királyság védelmében - írta a Wall Street Journal.||Kína a Szaúd-Arábia által exportált olaj több mint negyedét vásárolja fel.| Ha jüanban számolnák ezt el, akkor ezzel növelnék a kínai valuta értékét.| A szaúdiak azt is fontolgatják, hogy a jüanban denominált határidős ügyleteket, az úgynevezett petrojuant is beépítenék a Saudi Arabian Oil Co.|, azaz az Aramco árképzési modelljébe.| Szaúd-Arábia számára mélyreható változást jelentene, ha a napi durván 6,2 millió hordónyi nyersolajexport egy részét a dolláron kívül bármi másban áraznák be.||A globális olajeladások többsége – körülbelül 80 százaléka – dollárban történik, és a szaúdiak 1974 óta kizárólag dollárban kereskednek az olajjal, a Nixon-kormányzattal kötött megállapodás értelmében.| Ez az egyezség biztonsági garanciákat is tartalmazott a királyság számára.||Kína 2018-ban jüan áras olajszerződéseket vezetett be annak érdekében, hogy valutája kereskedhetővé váljon, de ezek nem rontottak a dollár olajpiaci dominanciáján.||Kína fokozta közeledését a szaúdi királysághoz.| Az elmúlt években Kína segített Szaúd-Arábiának saját ballisztikus rakéták építésében, konzultált a nukleáris programmal kapcsolatban, és elkezdett befektetni Mohammed bin Szalmán trónörökös kedvenc projektjeibe, például Neom-ba, a futurisztikus új városba.||Eközben a szaúdiak és az Egyesült Államok viszonya megromlott.| Biden elnök még a 2020-as kampányban páriáknak nevezte a szaúdiakat Dzsamál Khashoggi szaúdi újságíró 2018-as meggyilkolása miatt.| Mohamed herceg, aki az amerikai hírszerző hatóságok szerint megrendelte Khashoggi meggyilkolását, nem volt hajlandó részt venni Biden és a szaúdi uralkodó, Szalmán király múlt havi telefonbeszélgetésén.||A váltást támogató szaúdi tisztviselők azzal érvelnek, hogy a királyság a jüanból származó bevételek egy részéből fizethetné a szaúdi megaprojektekben részt vevő kínai vállalkozókat, ami segítene csökkenteni a valuta feletti, tőkeszabályozással kapcsolatos kockázatok egy részét.| Kína további ösztönzőket is kínálhat, például a több milliárd dolláros befektetéseket a királyságban.||március elején a hírek szerint elhalasztották az Egyesült Államok és az ASEAN között március 28-ról március 29-re tervezett különleges csúcstalálkozót.||az eddig a Moszkvával szemben alkalmazott nyugati szankciók hozzájárultak az elmúlt évtized legmagasabb globális kőolajáraihoz.| |Azzal érvelnek, hogy az afrikaiak Oroszország-bírálatának megtagadása az afrikai orosz „gyarmatosításon” alapszik.",,1
8, Mandiner,Az Iszlám Állam új támadásokra szólított fel Európában,2022. április 18. 14:21,,"||„Isten segítségével és közvetítésével bejelentjük egy áldott harc kezdetét, a két sejk, Abu Ibráhim al-Hásemi al-Kurejsi és Abu Hamzah al-Kurejsi al-Muhadzsir sejk bosszúharcát” – mondta a csoport új szóvivője, Abu Omar al-Muhadzsir a Telegram üzenetküldő alkalmazáson közzétett hangüzenetében.|    |A szóvivő felszólított minden dzsihadistát, hogy használja ki a keresztesek egymás elleni harcát, és folytassa a támadásokat Európában.| Felhívásában „a kalifátus minden oroszlánjának és az Iszlám Állam harcosainak mindenhol” azt üzente: „ha üttök, üssetek keményen, hogy fájdalmat okozzatok és terrorizáljatok”.|    |Az Iszlám Állam márciusban megerősítette korábbi vezetője, al-Kurejsi halálát, és bejelentette utódjának kinevezését.| A csoport szerint szervezetük új vezetője Abu al-Haszan al-Hasimi.| Abu Ibráhim al-Hásemi al-Kurejsi február elején halt meg egy északnyugat-szíriai amerikai katonai műveletben.| Joe Biden amerikai elnök akkor azt mondta, azért robbantotta fel magát, hogy ne vonják felelősségre tetteiért.|    |Al-Kurejsit a terrorszervezetet hosszú ideig vezető Abu Bakr al-Bagdadi 2019 októberében bekövetkezett halála után nevezték ki az Iszlám Állam vezérévé.| Az új üzenetben, amelynek hitelességét nem lehetett ellenőrizni, a szóvivő azt remélte, hogy az orosz háború Ukrajnában nem fog leállni, amíg el nem égeti „a kereszteseket és fel nem szántja a területeiket”.||(MTI)",,0
9, Mandiner,"Pisont István:  Amikor bántottak, eszembe jutott, hogy Jézust is megalázták, elárulták, leköpték",2022. április 18. 11:36,Vámos Tamás,"||Önről köztudott, hogy hívő ember.| Mit jelent ön számára a kereszténység legnagyobb ünnepe, Jézus feltámadása és a húsvét?||Ha egy szóval foglalnám össze: a szeretetet.| Ez vonatkozik a Jóistenre, a családra, a társadalomra és a futballra is.| Hiszen csak egy olyan közösséggel lehet jó eredményeket elérni, amelynek tagjai képesek egymásért harcolni.| Ehhez elengedhetetlen a szeretet, a hit és a remény, valamint az egymás iránti tisztelet.| S még egy nagyon fontos dolog: az embernek a hivatását is szeretnie kell!| |Játékosként mennyire segítette, erősítette a hit?||Hihetetlen módon, hiszen muszáj volt kialakítanom magamnak egy olyan belső világot, amely oly’ erős, hogy képes legyek akár a falakat is ledönteni!| No, és persze, sokat számított, hogy a családomnak köszönhetően már gyermekkoromban is hívőként éltem az életem, ministráltam.| A hitnek köszönhetően fogadtam el, hogy szegények voltunk, előfordult, hogy egyik napról a másikra éltünk, és bizony, sűrűn éhesek is maradtunk.| De a sport, és ezen belül a futball minden nehézségen átsegített.| Ami nagyon fontos: sosem felejtettem el mindennap megkérni a Jóistent, hogy segítsen minket a legnehezebb körülmények között is.|||Hívő emberként nyilván könnyebb volt elviselni és kezelni a származásából fakadó nehézségeket, a rasszista megnyilvánulásokat?||Abszolút!| Hiszen amikor engem bántottak, mindig az jutott eszembe, hogy Jézus Krisztust is megalázták, elárulták, leköpték.| |és a Jóistennek köszönhetően mindig olyan mestereim voltak, Both Józseftől kezdve Verebes Józsefen és Bicskei Bertalanon át Mezey Györgyön és Egervári Sándorig, akik mindig önzetlenül segítették a pályafutásomat, az aktuális csapatba történő beilleszkedésemet.| |Edzői miként fogadták el, hogy mindig hangsúlyozta: „számomra Isten az első, minden további csak ő utána következik az életemben!|”?| |Mindegyik edzőm meghagyta a lelki szabadságomat, és tiszteletben tartotta, hogy keresztény hívő vagyok.| Szerencsére a futball – pláne, a mai világban, ahol rengeteg légiós játszik a különböző bajnokságokban - felekezettől független, sohasem éreztem, hogy bármilyen formában kirekesztett lennék.| Amikor például Izraelben játszottam, senki nem szólt meg minket, magyarokat, ha a mérkőzések előtt keresztet vetettünk.| |Örülök, hogy szóba hozta Izraelt.| Hívő emberként sorsszerű volt, hogy hét évet is futballozhatott e szent helyen?||Egyértelműen!| |hiszen tudom, hogy Isten mire tanít minket, és hogy annál nagyobb szeretet nem létezik, hogy fiát, Jézus Krisztust feláldozta miattunk.||Edzőként mennyire tartja fontosnak, hogy a tanítványai templomba járjanak, és hívő emberek legyenek?||Ezt nem lehet senkire ráerőszakolni, de nagyon jó dolognak tartom, ha valaki igaz hívő ember.| Meggyőződésem, hogy a hit a futballpályán is a segítségünkre van, másképp reagálunk bizonyos dolgokra.| Fiatal, rutintalan játékosként bennem is volt néha frusztráció az ellenféllel, a játékvezetővel szemben, hiszen a pályán, egy-egy konfliktushelyzetben nem mindig Jézus ugrik be elsőként, de ha egy idő után lehiggad az ember, a lelki békéjét is könnyebb megtalálnia.| S akik Isten-hívők, pontosan tudják, mennyire fontos a közösség ereje.|  |Tudom, hogy amikor több korosztályos válogatott szövetségi edzőjeként dolgozott, többször is előfordult, hogy a játékosait templomba is elvitte…|Abszolút nem kényszerítettem egyetlen játékost sem, hogy rendszeresen templomba járjanak.| |Jelzésértékű: amikor az 1995-96-os korosztállyal Rómában, a Szent Péter téren voltunk, el kezdett esni az eső, ezt én akkor egyfajta áldásként éltem meg.| Pláne, hogy amíg benn voltunk a templomban, elállt, majd amikor kijöttünk, újra rázendített az ég.| Ezzel a korosztállyal szerepeltünk egyébként a hazai rendezésű Eb-n és jutottunk ki a világbajnokságra.| ||Miként tapasztalja?| A mai játékosok – akár a Honvédnál – mennyire fogékonyak a hitre?| Mennyire tud segíteni abban, hogy erősítsék a kapcsolatukat Istennel?||Nagyon sokan példát vesznek a külföldi klasszisoktól, hiszen például Lionel Messi felvállalja hitét, és Cristiano Ronaldo is minden mérkőzés előtt hosszasan imádkozik.| A mai játékosok ezt abszolút tudják értékelni, és be is építik a mindennapjaikba, nem véletlen, hogy sokan a kezdő sípszó előtt sokan keresztet vetnek.| A magyar futballisták előtt pedig Gera Zoli lehet a legjobb példa, hogy a hit és a kiemelkedő tehetség – amelyet Istentől kaptunk – tökéletesen megfér, és meg is kell férjen egymás mellett!| |Nyitókép Pisont István (középen) a Boldog Ceferino Lovagrend sportnagyköveteként a mátraverebély-szentkúti római katolikus templomban Fotó: MTI/Komka Péter| | |Előfordult, hogy engem is – nem egyszer, nem kétszer – bántottak, megaláztak, de úgy voltam vele: Istenben való hitem segítségével úgy is eljön a magasztalás ideje.| Engem, a gádorosi szegénysorból származó cigánygyereket a kispesti közönség emelt föl,|Emlékszem, amikor Betlehembe és Jeruzsálembe, Jézus Krisztus szülőhelyére és sírjához vagy éppen Gecsemáné kertjébe magánemberként kirándultam, a különböző tévés társaságok is elkísértek.| Bárhol játszottam a világban, teljesen természetes volt számomra, hogy felvállalom a hitemet,",,1
